Artist,Attendance,Gross,Bands in Town
Band Of Friends,133,"$3,515.00",4
Billie Marten,133,"$1,882.00",133
Devon Welsh,133,"$1,760.00",5
Escape-Ism,133,"$1,828.00",2
Front Country,133,"$2,117.00",55
Higher Power,133,"$1,859.00",41
The Larkins,133,"$1,584.00",1
Carl Thomas,132,"$2,733.00",777
Sir Mix-A-Lot,132,"$2,775.00","1,360"
The Mystery Lights,132,"$1,661.00",37
Brother Joscephus,131,"$2,410.00",0
Clara Mae,131,"$1,203.00",45
Dylan,131,"$1,203.00",52
Field Mouse,131,"$3,609.00",87
Matt Schofield,131,"$3,270.00",0
Satellite Mode,131,"$1,462.00",13
The Dead Tongues,131,"$2,110.00",30
The Roosevelts,131,"$1,783.00",96
Wylder,131,"$2,066.00","497,354"
Bokante,130,"$2,520.00",17
Chris Redd,130,"$2,918.00",7
Jack Klatt,130,"$1,326.00",2
Jelly Bread,130,$650.00,"497,354"
Kingdom Come,130,"$3,030.00",186
Matthew Curry,130,"$1,372.00",20
Phinehas,130,"$1,640.00",633
Roots Of Creation,130,"$2,220.00",280
Anthony Geraci,129,"$1,782.00",12
Brendan James,129,"$2,763.00",220
Jaw Gems,129,"$1,503.00","497,354"
Kevin Krauter,129,"$1,406.00","497,354"
Keznamdi,129,"$1,550.00",96
Kristian Bush,129,"$5,974.00",288
Madball,129,"$2,127.00",892
Night Beats,129,"$2,004.00",166
Richard Shindell,129,"$3,151.00","497,354"
Strawberry Girls,129,"$1,755.00",445
Anna Meredith,128,"$1,898.00",20
CJ Ramone,128,"$1,941.00",174
Doug Stone,128,"$4,166.00",271
Dylan Schneider,128,"$1,920.00","1,417"
Finn Andrews,128,"$2,796.00",3
Patty Larkin,128,"$3,291.00",36
Poppy Ajudha,128,"$1,762.00",16
Rough Francis,128,"$1,682.00",39
Secondhand Serenade,128,"$1,980.00","6,715"
Sober Rob,128,"$2,011.00",49
Walker Lukens,128,"$2,007.00",32
Abigail Washburn,127,"$3,515.00",137
Andy McKee,127,"$3,195.00",732
Dusky,127,"$1,566.00",394
Ferris And Sylvester,127,"$1,552.00","497,354"
Laura Stevenson,127,"$1,901.00",254
Lee Bains III & The Glory Fires,127,"$1,571.00",42
Nobide,127,$770.00,2
Telekinetic Yeti,127,"$2,198.00","497,354"
Buzzy Lee,126,"$1,692.00",8
Davy Knowles,126,"$2,551.00",72
Greg Holden,126,"$1,890.00",223
Jamie Kennedy,126,"$2,835.00",52
Knox Hamilton,126,"$1,722.00",327
Mick Flannery,126,"$2,451.00",14
William Michael Morgan,126,"$1,764.00","497,354"
Ady Suleiman,125,"$1,870.00",54
Andreya Triana,125,"$2,441.00",123
Dead Winter Carpenters,125,"$1,003.00",19
Drew Baldridge,125,"$2,416.00",167
Dylan LeBlanc,125,"$2,075.00",87
"James ""Blood"" Ulmer",125,"$3,175.00",0
The Aquadolls,125,"$1,702.00",134
The Dead Daisies,125,"$2,310.00",517
Treasure Fingers,125,"$1,985.00",190
Adrian Legg,124,"$2,756.00",19
Birdtalker,124,"$1,460.00",117
Cloves,124,"$1,355.00",139
Cory Branan,124,"$2,588.00",192
Gatherers,124,"$1,929.00",73
Gibbz,124,"$2,635.00",111
Parsonsfield,124,"$2,194.00",46
Port Cities,124,"$1,022.00",2
Royal Bliss,124,"$1,628.00",217
Sun Seeker,124,"$1,728.00",159
Sundressed,124,"$1,312.00",62
Swimming With Bears,124,"$1,308.00",16
Trapper Schoepp,124,"$1,579.00",36
Wild Adriatic,124,"$1,775.00",109
Arlo Mckinley & The Lonesome Sound,123,"$1,212.00","497,354"
Brian Vander Ark,123,"$4,055.00",29
Grace Carter,123,"$1,800.00",32
Night Club,123,"$1,498.00",61
Primitive Man,123,"$1,588.00","497,354"
The Railsplitters,123,"$2,352.00",13
Chris Potter,122,"$3,681.00",89
Chris Pureka,122,"$2,540.00",67
Donovan Woods,122,"$1,397.00",67
Flaural,122,"$1,308.00",8
Foreign Air,122,"$1,402.00",163
Gary Hoey,122,"$3,213.00",177
Piers Faccini,122,"$1,464.00",24
Anna & Elizabeth,121,"$2,389.00",16
Dylan Carlson,121,"$1,452.00",32
Scrapomatic,121,"$2,530.00",22
Shvpes,121,"$1,108.00",57
The Slambovian Circus Of Dreams,121,"$3,141.00","497,354"
A Place To Bury Strangers,120,"$1,887.00","497,354"
Chaos Chaos,120,"$1,483.00",156
Filmore,120,"$1,477.00",149
Jupiter & Okwess,120,"$1,909.00",3
King Buffalo,120,"$1,289.00",35
Lithics,120,"$1,440.00",2
Matthew Perryman Jones,120,"$2,373.00",210
Rob Ickes & Trey Hensley,120,"$3,238.00",4
Zack Villere,120,"$1,905.00",217
Zuzu,120,"$1,161.00",19
Euforquestra,119,"$1,689.00",34
Jesca Hoop,119,"$2,127.00",100
Mondo Cozmo,119,"$1,908.00",217
Pardison Fontaine,119,"$4,760.00",317
Tomi,119,"$1,190.00","497,354"
Unsane,119,"$1,845.00",125
Aaron Lazar,118,"$2,430.00",2
Beoga,118,"$2,139.00",19
Blackillac,118,"$1,652.00",1
John Vanderslice,118,"$1,626.00",105
Lily Moore,118,"$1,228.00",3
Quando Rondo,118,"$2,422.00",552
Ruby Velle & The Soulphonics,118,"$2,246.00",150
Declan J Donovan,117,"$1,210.00",23
Demob Happy,117,"$2,374.00","497,354"
Dori Freeman,117,"$2,719.00",27
Jon Wayne and the Pain,117,"$1,660.00","497,354"
Pvmnts,117,"$1,999.00","497,354"
Boy Azooga,116,"$1,135.00",5
Church Of Misery,116,"$2,518.00","497,354"
Eleanor Friedberger,116,"$2,080.00",57
Janiva Magness,116,"$2,827.00",115
Jill Andrews,116,"$3,346.00",99
Jillian Jacqueline,116,"$1,830.00",86
Sam Burchfield,116,"$1,492.00",73
Sinkane,116,"$2,001.00",56
Steve Dorff,116,"$2,355.00",12
The Iguanas,116,"$2,661.00",65
Victory Boyd,116,"$3,153.00",24
Blacktop Mojo,115,"$1,565.00",218
C.J. Chenier & The Red Hot Louisiana Band,115,"$2,484.00","497,354"
Daedelus,115,"$1,904.00",193
Fenne Lily,115,"$1,303.00",38
Little Tybee,115,"$1,826.00",155
Moses Boyd,115,"$1,866.00",4
Patrick Sweany,115,"$1,771.00",243
Thomas Csorba,115,"$1,540.00",9
Carlene Carter,114,"$4,204.00",103
Field Report,114,"$1,575.00",62
Jack Tempchin,114,"$2,783.00",304
Shy Girls,114,"$1,918.00",294
Sienna Skies,114,"$2,374.00",244
Starbenders,114,"$2,242.00",57
Suzanne Santo,114,"$2,881.00",35
Tracyanne & Danny,114,"$2,430.00","497,354"
Wingtip,114,"$1,543.00",74
Within The Ruins,114,"$1,869.00","497,354"
Bhi Bhiman,113,"$1,561.00",62
Emerson Hart,113,"$3,235.00",240
Frank Vignola's Hot Jazz Guitar Trio,113,"$2,943.00","497,354"
Jack Beats,113,"$1,785.00",422
Joey Landreth,113,"$1,577.00",20
Johnny A.,113,"$3,202.00",51
Kevin Gordon,113,"$1,765.00",18
Neil Hamburger,113,"$2,246.00",7
Quiet Slang,113,"$1,639.00",1
Brother Elsey,112,"$1,568.00",10
Gabba Gabba Heys,112,"$1,290.00","497,354"
Jim Jones & The Righteous Mind,112,"$1,659.00","497,354"
Oliver Hazard,112,"$3,404.00",10
Sweet Crude,112,"$1,465.00",59
The New Respects,112,"$1,495.00",115
Tommy Newport,112,"$1,558.00",34
Flipp Dinero,111,"$2,677.00",533
Girl Ray,111,"$1,198.00",7
Jeffrey Foucault,111,"$2,171.00",82
John O'Hurley,111,"$2,455.00","497,354"
Jon Stickley Trio,111,"$1,943.00",68
Mikal Cronin,111,"$1,732.00",224
Nektar,111,"$3,352.00",51
Sammy Miller And The Congregation,111,"$1,966.00","497,354"
Lindsay Lou,110,"$1,759.00",75
Radkey,109,"$1,137.00",211
Sean Rowe,109,"$1,804.00",95
Airways,108,"$1,845.00",30
Bandits On The Run,108,"$1,330.00",10
Erika Wennerstrom,108,"$1,647.00",31
James Brown Dance Party,108,"$2,043.00","497,354"
Nellie McKay,108,"$2,913.00",118
Peter Mulvey,108,"$1,903.00",80
Trevor Powers,108,"$1,889.00",841
Tyler Ramsey,108,"$2,334.00",35
Zion I,108,"$1,667.00",604
Carolyn Wonderland,107,"$1,983.00",94
Cristela Alonzo,107,"$2,981.00",2
Feng Suave,107,"$1,482.00",90
Huntertones,107,"$1,355.00",27
Melkbelly,107,"$1,148.00",19
No BS! Brass,107,"$1,894.00",6
Sarah Borges & The Broken Singles,107,"$1,840.00","497,354"
Suburban Living,107,"$1,236.00",21
Honeysuckle,106,"$1,988.00","497,354"
John Corabi,106,"$3,638.00",288
Joshua Davis,106,"$2,769.00",201
Katastro,106,"$1,554.00",403
Lola Kirke,106,"$1,475.00",12
Mike Tramp,106,"$3,638.00",58
Modern Nature,106,"$1,439.00",4
Oshima Brothers,106,"$1,427.00",7
Vance Gilbert,106,"$2,735.00",26
Beta Radio,105,"$1,401.00",142
Goldroom,105,"$2,668.00",412
Jackie Venson,105,"$1,710.00",37
Jeffrey Gaines,105,"$2,354.00",112
Lomelda,105,"$1,299.00",48
Octopus Project,105,"$1,448.00","497,354"
Onra,105,"$1,650.00",136
Striking Matches,105,"$1,938.00",104
The Handsome Family,105,"$2,100.00",169
An Horse,104,"$1,395.00",129
Gruff Rhys,104,"$1,290.00",49
Larry Keel,104,"$1,497.00",111
Pagan,104,"$1,438.00",17
Statik Selektah,104,"$1,656.00",403
Twisted Pine,104,"$2,184.00",13
Bambara,103,"$1,194.00",9
Carl Broemel,103,"$1,950.00",26
Erin McKeown,103,"$1,892.00",62
Giants In The Trees,103,"$1,593.00",5
Henry Jamison,103,"$1,539.00",61
Joy Again,103,"$1,298.00",165
MC Lars,103,"$1,468.00",522
Nnamdi Ogbonnaya,103,"$1,409.00","497,354"
That 1 Guy,103,"$1,502.00",224
Tomberlin,103,"$1,375.00",23
Valley Maker,103,"$1,196.00",38
Vant,103,"$1,291.00",47
Ben Caplan,102,"$1,050.00",49
Guggenz,102,"$1,235.00",19
Love And Theft,102,"$2,167.00","3,405"
Psychostick,102,"$1,366.00","1,260"
Skold,102,"$1,695.00","497,354"
Spendtime Palace,102,"$1,380.00",146
*Repeat Repeat,101,"$1,387.00","497,354"
Amythyst Kiah,101,"$2,118.00",20
Beasto Blanco,101,"$1,719.00",95
Kindo,101,"$1,504.00","497,354"
Lincoln Durham,101,"$1,331.00",95
Melanie,101,"$4,251.00",398
Pigeon Hole,101,"$2,860.00",24
Quintron & Miss Pussycat,101,"$1,212.00",5
Tengger Cavalry,101,"$2,045.00",195
Black Foxxes,100,"$1,246.00",36
Eliot Lewis,100,"$1,885.00",41
Hailey Knox,100,"$1,960.00",128
Jaimee Harris,100,"$2,212.00",9
Louis Baker,100,"$1,424.00",10
Meg Mac,100,"$1,616.00","497,354"
Milton,100,"$2,000.00",11
Stu Larsen,100,"$1,448.00",95
Teddy Thompson,100,"$2,192.00",100
The Arcadian Wild,100,"$1,193.00","497,354"
The Orphan The Poet,100,"$1,033.00",114
Deaf Wish,99,"$1,132.00",8
Hembree,99,"$1,511.00",48
Moonalice,99,"$1,407.00",381
Plested,99,"$1,200.00",31
Sarah Grace And The Soul,99,"$2,365.00","497,354"
The Suitcase Junket,99,"$1,519.00",44
Aaron Smith,98,"$1,005.00",162
Everyone You Know,98,"$1,114.00",1
Gengahr,98,"$2,069.00",36
Hugh Masterson,98,"$1,127.00",12
Josh Cashman,98,$491.00,3
Private Island,98,"$1,054.00",114
Sean McConnell,98,"$1,361.00",74
Sorry,98,"$1,236.00",32
Stef Chura,98,"$1,037.00",28
Wallis Bird,98,"$2,536.00",18
Courier Club,97,"$1,082.00",27
JD Eicher,97,"$1,536.00",100
RC & The Gritz,97,"$2,150.00",3
Ruen Brothers,97,"$1,455.00",38
Social Animals,97,"$1,212.00",5
Travis Garland,97,"$1,565.00",448
Adam Weiner,96,"$1,699.00","497,354"
Earth Groans,96,"$1,050.00",64
Fog Lake,96,"$1,269.00",80
Indigo de Souza,96,"$1,015.00","497,354"
Kurt Travis,96,"$1,310.00",338
The Accidentals (MI),96,"$1,445.00","497,354"
The Yawpers,96,"$1,265.00",31
Tony MacAlpine,96,"$2,019.00",334
Cicada Rhythm,95,"$1,916.00",17
Elizabeth And The Catapult,95,"$1,553.00","497,354"
Jill Sobule,95,"$1,888.00",94
JZAC,95,"$1,425.00",53
Mikaela Davis,95,"$1,122.00",44
Orny Adams,95,"$2,577.00",35
PLS&TY,95,"$1,662.00",86
The Courtneys,95,"$1,230.00",53
Versus,95,"$1,449.00",39
Wovenhand,95,"$1,483.00",69
Deep Sea Diver,94,"$1,030.00",68
Dreamgirl,94,"$1,081.00",105
Elliott Brood,94,"$1,317.00","497,354"
Harley Poe,94,"$1,410.00",205
Hawktail,94,"$2,207.00",15
Onr.,94,$742.00,"497,354"
Roosevelt Collier,94,"$1,418.00",207
Sicard Hollow,94,$846.00,0
Steve Poltz,94,"$2,023.00",65
The Sidekicks,94,"$1,095.00",156
Blonde Redhead,93,"$3,070.00",504
Boyfriend,93,"$1,145.00",97
Horse Feathers,93,"$1,663.00",255
Kelly Lee Owens,93,"$1,395.00",26
The Weather Station,93,"$1,916.00",40
World Inferno Friendship Society,93,"$1,154.00",1
Blac Rabbit,92,"$1,201.00",295
Choir Boy,92,"$1,030.00",43
Deal Casino,92,"$1,233.00","497,354"
"Eli ""Paperboy"" Reed",92,"$1,699.00",78
Jimmy Gnecco,92,"$1,851.00",67
Joe Robinson,92,"$1,709.00",47
Marialy Pacheco,92,"$1,203.00",2
Peter Himmelman,92,"$2,075.00",29
Whenyoung,92,"$1,142.00","497,354"
Adam French,91,$954.00,17
Alicia Witt,91,"$2,050.00",39
Bret Bollinger,91,"$1,390.00",59
Ona,91,"$1,059.00",26
Palace Winter,91,"$1,275.00",12
Smooth Hound Smith,91,"$1,147.00","497,354"
The Dwarves,91,"$1,365.00","497,354"
Eliot Lipp,90,"$1,303.00",186
Kalie Shorr,90,"$1,485.00",65
Many Rooms,90,$942.00,80
Teebs,90,"$1,416.00",116
This Is The Kit,90,"$1,453.00","497,354"
Zeshan B,90,"$1,350.00",6
Castlecomer,89,"$1,064.00",63
Charlie Winston,89,"$1,528.00",29
Crys Matthews,89,"$1,583.00",3
Findlay,89,$843.00,28
Jennifer Knapp,89,"$1,658.00",240
Super Whatevr,89,"$1,361.00","497,354"
The Messthetics,89,"$1,129.00",15
Brandon Wardell,88,"$1,276.00",13
Emily Scott Robinson,88,$981.00,6
Michael Rault,88,$974.00,16
Selwyn Birchwood,88,"$1,434.00",918
The Lindsey Webster Band,88,"$1,828.00",1
Charlie Hunter,87,"$2,505.00",159
Daughter of Swords,87,"$1,383.00",5
De Lux,87,"$1,093.00",83
Duckwrth,87,"$1,221.00",354
Fred J. Eaglesmith,87,"$2,049.00","497,354"
Palehound,87,"$1,222.00",130
The Rails,87,"$1,305.00",9
Ari Hest,86,"$1,747.00",92
Darrin Bradbury,86,"$1,296.00",15
Grace Ives,86,"$1,014.00","497,354"
Lauren Duski,86,"$1,085.00",162
Leslie Mendelson,86,"$2,020.00",36
The Harmaleighs,86,"$1,172.00",24
TsuShiMaMiRe,86,$989.00,"497,354"
A War Within,85,$955.00,145
Autograph,85,"$1,825.00",363
Black Belt Eagle Scout,85,$822.00,22
Chris Mann,85,"$1,700.00",312
Kiss The Sky - Jimi Hendrix Re-Experience,85,"$2,675.00","497,354"
Luke Sital-Singh,85,"$1,584.00",103
Phangs,85,"$1,065.00","497,354"
Spiders,85,"$1,713.00",17
The Talbott Brothers,85,"$1,136.00",29
BRKN Love,84,"$1,071.00",8
House of Pharaohs,84,"$1,195.00",4
Warbly Jets,84,$798.00,18
Amy Speace,83,"$1,325.00",23
Curls,83,"$1,313.00",4
Nick Moss Band feat. Dennis Gruenling,83,"$1,449.00","497,354"
Nots,83,"$1,177.00",46
The Restless Age,83,"$1,287.00",1
1000Mods,82,"$1,498.00",41
Awake At Last,82,$895.00,159
Divided Minds,82,$842.00,12
Jay Prince,82,"$1,271.00",183
Like Pacific,82,"$1,090.00",431
Nobigdyl,82,"$1,150.00","497,354"
Albert Castiglia,81,"$1,076.00",50
Dax,81,"$1,324.00",153
Deca,81,$931.00,37
Dilly Dally,81,"$1,337.00",57
Icarus,81,"$1,332.00",83
Illuminati Hotties,81,$932.00,"497,354"
Jetty Bones,81,"$1,034.00",102
Josh Kelley,81,"$1,613.00",798
Lankum,81,"$1,620.00",13
Lowest Of The Low,81,"$1,265.00","497,354"
Slim Cessna's Auto Club,81,"$1,524.00",56
Terri Lyne Carrington,81,"$4,328.00",51
Fireside Collective,80,$790.00,"497,354"
Jonah Ray,80,"$1,574.00",8
Orb,80,$892.00,"497,354"
The Convalescence,80,$751.00,155
Connie Kaldor,79,"$1,501.00",0
David Wax Museum,79,"$1,361.00","497,354"
Garnet Rogers,79,"$1,501.00",6
The Bright Light Social Hour,79,"$1,234.00",634
The Clockworks,79,$870.00,0
Thumpasaurus,79,$891.00,8
Whitney Rose,79,$809.00,25
Christopher Paul Stelling,78,"$1,101.00",60
Knife Knights,78,"$1,077.00","497,354"
Michaela Anne,78,$910.00,17
Molly Sarlé,78,"$1,227.00",3
Valley Queen,78,$946.00,25
Cedric Burnside Project,77,"$1,031.00",3
Erin Rae,77,"$1,031.00",13
Glitterer,77,"$1,023.00",32
Jessica Lea Mayfield,77,$981.00,280
Malina Moye,77,"$1,502.00",23
Pacific Dub,77,"$1,021.00",936
The Veer Union,77,$800.00,480
Adia Victoria,76,"$1,149.00",41
Hey Ocean!,76,$782.00,162
JD Simo,76,$890.00,56
MIKE,76,"$1,035.00","497,354"
Blue Hawaii,75,$742.00,102
Brother Moses,75,$784.00,30
Donny McCaslin,75,"$1,602.00",45
Laura Love,75,"$1,200.00",14
Proxima Parada,75,"$1,005.00","497,354"
Slow Season,75,$706.00,28
Soule Monde,75,"$1,381.00",2
Sugaray Rayford,75,"$1,027.00",19
Jorge Glem,74,"$2,220.00",8
Justin Kauflin,74,"$1,719.00",17
Seth Walker,74,"$1,475.00",98
Chicago Farmer & The Fieldnotes,73,$957.00,"497,354"
Dear Rouge,73,$825.00,22
Julien Chang,73,$904.00,2
Alex Di Leo,72,$762.00,76
Brett Scallions,72,"$2,615.00",35
Dan Owen,72,"$1,265.00",17
Rachael Kilgour,72,"$1,087.00",1
Sebastian Plano,72,"$1,014.00",12
Brent Best,71,"$1,029.00",7
Closeness,71,$490.00,27
Conner Youngblood,71,$806.00,107
Handsome Ghost,71,$890.00,222
Kendrick Scott Oracle,71,"$1,939.00",21
Noah Guthrie,71,"$1,058.00",341
Plague Vendor,71,"$1,045.00",120
Ryan Kinder,71,$926.00,163
Glen Matlock,70,"$1,750.00",11
Hilary Woods,70,$890.00,2
King Nun,70,$802.00,5
Ringo Deathstarr,70,$939.00,153
Single Mothers,70,"$1,062.00",258
The McCrary Sisters,70,"$1,825.00",4
E.N Young,69,$935.00,368
Jack Penate,69,"$1,273.00","497,354"
Lily Waters,69,$451.00,0
Mattiel,69,$803.00,15
Muncie Girls,69,$821.00,20
The Juice,69,$794.00,11
Waking April,69,$788.00,2
Running Touch,68,$842.00,26
The Po' Ramblin' Boys,68,"$1,019.00",32
Anarbor,67,$706.00,"1,486"
Assuming We Survive,67,$758.00,240
Daniel Donato,67,$684.00,36
Glow,67,$748.00,17
JJ Wilde,67,$821.00,5
Jontavious Willis,67,"$1,283.00","497,354"
Making Movies,67,$875.00,15
Yowler,67,$918.00,25
Ben Zaidi,66,$910.00,19
Chastity,66,$579.00,45
Domo Wilson,66,$990.00,137
Emily Saliers,66,"$1,320.00",32
Josiah & The Bonnevilles,66,$962.00,144
Greyhounds,65,"$1,242.00",119
Heather Mae,65,$973.00,10
Hide,65,"$1,040.00","497,354"
Mitch Malloy,65,"$1,299.00",28
Monograms,65,$778.00,8
Norman Westberg,65,$958.00,1
Press To Meco,65,$695.00,11
The Speed Of Sound In Seawater,65,$855.00,109
Alash,64,"$1,049.00",0
East Of Eli,64,$807.00,"497,354"
Little Bird,64,$885.00,31
Maty Noyes,64,"$1,050.00",463
Shamir,64,"$1,140.00",216
The Appleseed Cast,64,$845.00,408
"Walter ""Wolfman"" Washington",64,"$2,014.00",54
Annie Hart,63,$855.00,7
Sarah Klang,63,"$1,085.00",1
Ada Lea,62,$692.00,9
Ben Lee,62,"$1,370.00",240
Devon Baldwin,62,$685.00,411
Lowland Hum,62,$835.00,19
The End Of America,62,"$1,021.00","497,354"
Albin Lee Meldau,61,$814.00,29
Dizzy,61,$630.00,69
Lee DeWyze,61,"$2,082.00","497,354"
Midnight North,61,$756.00,37
Sego,61,$645.00,"497,354"
4th Ave,60,$606.00,31
Allman Brown,60,$725.00,76
Our Girl,60,$598.00,14
Romeo Delight - The Ultimate Van Halen Tribute,60,"$1,640.00","497,354"
Royal Coda,60,$744.00,108
Will Varley,60,$746.00,18
Cryptic Wisdom,59,$823.00,456
Marty Grimes,59,$947.00,147
Teddy And The Rough Riders,59,$612.00,1
John Nemeth & The Blue Dreamers,58,"$1,292.00","497,354"
Jolie Holland,58,$995.00,93
Mothers,58,$791.00,232
Rosegarden Funeral Party,58,$594.00,7
Alukah,57,$588.00,28
Crobot,57,$822.00,309
Josiah Johnson,57,$687.00,19
Odonis Odonis,57,$765.00,20
Sophie And The Giants,57,$681.00,"497,354"
Towne,57,"$1,530.00","497,354"
Welles,57,$609.00,27
Ellis Dyson & The Shambles,56,$365.00,"497,354"
Keith Harkin,56,"$1,933.00",336
Alive In Barcelona,55,$566.00,103
Clark Beckham,55,$929.00,360
Eyes Set To Kill,55,$696.00,"497,354"
Gouge Away,55,$825.00,359
Shy Boys,55,$629.00,16
The Generators,55,$550.00,43
Trevor Daniel,55,$960.00,213
AJ Ghent,54,$855.00,47
Bonnie Bishop,54,"$1,010.00",43
Eggy,54,$722.00,19
JJUUJJUU,54,$744.00,19
Mike Pinto Band,54,$868.00,66
The Contenders,54,"$2,310.00",7
Anna Tivel,53,$795.00,10
Ceramic Animal,53,$660.00,56
Faux Ferocious,53,$637.00,20
Gabby's World,53,$661.00,81
Low Island,53,$555.00,1
Mirah,53,$780.00,380
Surfbort,53,$726.00,21
Weaves,53,$649.00,44
Asian Doll,52,"$1,355.00",142
Boulevards,52,$700.00,10
Bush Tetras,52,"$1,100.00",9
Fur,52,$659.00,46
Jeremie Albino,52,$570.00,2
Juanita Stein,52,$552.00,4
Marielle Kraft,52,$671.00,25
Turquoise Jeep,52,$652.00,11
Dusty Slay,51,$765.00,2
Moaning,51,$744.00,29
Once & Future Band,51,$702.00,1
Tor Miller,51,$723.00,121
Dan Bern,50,$675.00,44
Emily Kinney,50,"$1,097.00","1,041"
Heather Maloney,50,$973.00,42
Jerry Joseph,50,$545.00,47
Kacy & Clayton,50,$750.00,9
Sam Amidon,50,"$1,077.00",57
Icarus The Owl,49,$522.00,255
Ida Mae,49,$869.00,44
Shy Martin,49,$766.00,41
Teitur,49,$783.00,72
Kneebody,48,"$1,152.00",45
Royal Canoe,48,$606.00,62
Bailey Bryan,47,$893.00,68
Bright Light Bright Light,47,"$1,085.00",47
Circuit Des Yeux,47,$540.00,8
Neighbor Lady,47,$528.00,11
Old Sea Brigade,47,$532.00,26
Pitou,47,$468.00,1
Sontalk,47,$645.00,"497,354"
Striker,47,$494.00,34
Whitacre,47,$470.00,2
Andres,46,$511.00,"497,354"
Arielle,46,$552.00,59
Bad Luck,46,$486.00,"497,354"
Dent May,46,$632.00,131
Joanna Connor Band,46,"$1,380.00","497,354"
Jocelyn & Chris,46,$753.00,51
Lolo,46,$878.00,"497,354"
Marti Jones & Don Dixon,46,$920.00,0
Sound Of Ceres,46,$556.00,"497,354"
Fat Boy SSE,45,$955.00,1
Grlwood,45,$491.00,"497,354"
Michael Glabicki,45,$990.00,33
Tomorrows Bad Seeds,45,$638.00,830
Connie Constance,44,$464.00,20
Raye Zaragoza,44,$539.00,29
Sacred Paws,44,$561.00,"497,354"
Will Kimbrough,44,$737.00,48
Y2K,44,$595.00,76
Hayley Orrantia,43,$948.00,21
Stuyedeyed,43,$419.00,42
Vrsty,43,$448.00,"497,354"
Buffalo Gospel,42,$429.00,16
Cherry Pools,42,$604.00,94
Common Deer,42,$420.00,1
Fairground Saints,42,$558.00,43
Sasha Masakowski,42,$840.00,2
"Goodnight, Texas",41,$428.00,45
Liily,41,$583.00,57
Communicant,40,$519.00,114
Luke Winslow-King,40,$605.00,41
Madchild,40,$605.00,299
Unspoken Tradition,40,$327.00,6
Campbell Brothers,39,"$1,120.00",6
Doug Paisley,39,$585.00,25
Gladie,39,$429.00,20
Low Hum,39,$442.00,15
Patrick Martin,39,$445.00,9
Tia Gostelow,39,$674.00,8
Haiku Hands,38,$345.00,7
Spiral Stairs,38,$450.00,1
Cameron Graves,37,$638.00,4
Casey Veggies,37,$565.00,"1,516"
Dylan Cartlidge,37,$364.00,6
Elise Davis,37,$414.00,"497,354"
Maybird,37,$522.00,28
Ten Foot Pole,37,$398.00,186
The Slocan Ramblers,37,$530.00,2
Active Bird Community,36,$368.00,63
Drakulas,36,$432.00,16
Helena Deland,36,$342.00,24
Mustasch,36,$630.00,32
Oliver Bates Craven,36,$380.00,0
B.A.G. (Blimes x Gifted Gab),35,$608.00,"497,354"
Big Eyes,35,$370.00,57
Savage Master,35,$420.00,32
Spirit Adrift,35,$434.00,38
Che Apalache,34,$547.00,5
Crack Cloud,34,$384.00,8
Ellis,34,$349.00,44
Husky Loops,33,$501.00,4
Jesse Valenzuela,33,$453.00,4
Pathology,33,$535.00,250
Thor & Friends,33,$453.00,6
Heather Gillis Band,32,$570.00,6
The Grinns,32,$314.00,29
April B & The Cool,31,$620.00,"497,354"
Margo Seibert,31,$355.00,3
Pickwick Commons,31,$186.00,22
Vinnie Caruana,31,$421.00,94
Dub Trio,30,$468.00,66
Kelsey Waldon,30,$317.00,53
Kyle Park,30,$374.00,407
The Last Bison,30,$360.00,171
The Obsessed,30,$410.00,95
Froth,29,$419.00,155
SAUL,29,$453.00,"497,354"
Owel,28,$320.00,"497,354"
Carter Winter,27,$333.00,421
Death Bells,27,$289.00,"497,354"
Down North,27,$304.00,4
Sam Evian,27,$311.00,31
Stickup Kid,27,$310.00,272
Jon Shain,26,$388.00,15
Public Access T.V.,26,$392.00,24
William Wild,26,$486.00,31
Kasador,25,$336.00,6
Young Guv,25,$200.00,8
Dragged Under,24,$353.00,14
Forever In Your Mind,23,$784.00,236
Gold Connections,23,$240.00,7
Adam Hambrick,22,$270.00,26
Blessed,22,$253.00,49
Facs,22,$254.00,1
Indianola,22,$251.00,7
The Gotobeds,22,$173.00,"497,354"
Todd Albright,22,$250.00,4
Brent Cowles,21,$277.00,15
Pilfers,21,$224.00,73
Shortly,21,$236.00,16
Parker Gispert,20,$157.00,4
Awakebutstillinbed,19,$214.00,"497,354"
Circus No. 9,19,$205.00,5
Les Stroud,19,"$1,140.00",19
Pierce Edens,19,$205.00,37
Christian Lopez,18,$188.00,55
Nicholas David,18,$270.00,277
Aggression,17,$204.00,15
Do Nothing,17,$206.00,3
Silver Snakes,17,$190.00,71
Squirrel Flower,17,$295.00,"497,354"
Amy Lavere,16,$164.00,"497,354"
Carter Reeves,15,$197.00,32
Roanoke,15,$323.00,25
The Western Den,15,$400.00,8
Corey Harris,14,$210.00,41
Haunted Summer,14,$130.00,1
Kate Willett,14,$174.00,4
Narcotic Wasteland Feat. Dallas Toler-Wade,14,$164.00,"497,354"
Flipturn,13,$177.00,285
Still Rebel,12,$128.00,4
Swimmer,12,$120.00,9
Tatanka,12,$156.00,196
Penelope Isles,11,$160.00,24
The Second After,11,$110.00,48
Arthur,10,$100.00,34
Louise Distras,10,$174.00,6
The Medium,9,$94.00,18
