Artist,Attendance,Gross,Bands in Town
Pete Tong Ibiza Classics,"7,096","$528,343.00",
Bryan Adams,"7,095","$450,763.00","4,890"
The Smashing Pumpkins,"7,065","$536,619.00","14,572"
"Je'Caryous Johnson's Presents ""Set It Off""","7,058","$443,496.00","497,354"
Santana,"7,032","$523,607.00","10,203"
Cage The Elephant,"7,031","$364,120.00","497,354"
Adriatique,"7,021","$403,051.00",97
Shinedown,"7,008","$314,835.00","497,354"
Fobia,"6,992","$174,731.00",119
Jesse & Joy,"6,943","$298,726.00",782
The xx,"6,931","$448,581.00","12,073"
Disturbed,"6,748","$391,986.00","497,354"
Poison,"6,714","$269,851.00","6,681"
TLC,"6,694","$201,709.00","6,890"
Paramore,"6,654","$345,189.00","45,879"
J Balvin,"6,648","$435,868.00","5,305"
Editors,"6,641","$321,918.00",703
Game Of Thrones Live Concert Experience,"6,587","$457,715.00",1
Travis,"6,569","$378,032.00",681
James,"6,568","$372,894.00",729
Trey Songz,"6,475","$537,887.00","31,080"
Sebastian Maniscalco,"6,432","$517,626.00",66
Russell Howard (Comedy),"6,428","$248,620.00","497,354"
Kane Brown,"6,417","$261,987.00","7,030"
JoJo Siwa,"6,412","$350,049.00",190
A.R. Rahman,"6,411","$737,567.00",476
Madness,"6,389","$353,368.00",646
Zedd,"6,381","$377,793.00","17,014"
Rita Ora,"6,376","$312,583.00","3,826"
Mary J. Blige,"6,351","$499,766.00","14,370"
Jovanotti,"6,347","$479,603.00",57
Blossoms,"6,343","$256,035.00",137
Tears For Fears,"6,337","$419,532.00","497,354"
Sting,"6,310","$528,703.00","6,345"
Toby Keith,"6,254","$392,902.00","18,334"
Nitro Circus Live,"6,246","$366,939.00","497,354"
Whitesnake,"6,230","$292,759.00","4,536"
Anita Baker,"6,229","$632,889.00","1,724"
Panteón Rococó,"6,217","$121,498.00",116
Emily Ann Roberts,"6,196","$393,935.00",76
Pitbull,"6,163","$483,902.00","30,893"
Trevor Noah,"6,161","$364,311.00",68
Yo Gotti,"6,145","$480,973.00","9,068"
Niall Horan,"6,143","$329,906.00","7,686"
Elbow,"6,135","$326,677.00",529
I Love The 90s Tour,"6,117","$304,063.00","497,354"
A-ha,"6,103","$465,135.00","2,200"
Vampire Weekend,"6,103","$344,239.00","13,072"
Zoé,"6,097","$230,076.00",537
Stormzy,"6,096","$230,634.00",334
Hot Country Knights,"6,069","$269,462.00",48
The Tenderloins,"6,068","$368,036.00","497,354"
Bon Iver,"6,027","$346,259.00","10,847"
The Avett Brothers,"6,017","$336,839.00","7,527"
Disclosure,"6,016","$312,280.00","8,668"
Josh Wink,"6,014","$328,340.00",312
Lil Uzi Vert,"5,965","$254,792.00","11,445"
Jack White,"5,938","$344,393.00","6,610"
Ms. Lauryn Hill,"5,905","$395,814.00","5,662"
Doobie Brothers,"5,875","$370,652.00",0
MercyMe,"5,870","$249,902.00","11,431"
Residente,"5,865","$205,472.00",588
The Prodigy,"5,831","$329,166.00","3,156"
Ha*Ash,"5,830","$215,980.00",381
The String Cheese Incident,"5,830","$312,575.00","2,955"
Jason Derulo,"5,817","$319,403.00","25,959"
Sin Bandera,"5,817","$317,049.00",941
Shaggy,"5,802","$468,952.00","5,001"
Bonobo,"5,794","$225,674.00","2,242"
John Fogerty,"5,787","$381,453.00","1,438"
Beck,"5,784","$319,991.00","9,498"
Josh Groban,"5,778","$554,306.00","5,464"
Gretchen Wilson,"5,776","$256,015.00","3,150"
Duran Duran,"5,764","$735,258.00","6,378"
Vanilla Ice,"5,764","$100,145.00","1,859"
Village People,"5,761","$243,211.00",322
Flo Rida,"5,753","$199,949.00","20,901"
Rascal Flatts,"5,746","$319,805.00","26,354"
Excision,"5,743","$270,068.00","6,124"
Bjork,"5,738","$522,566.00","497,354"
Nas,"5,734","$325,258.00","9,756"
Morrissey,"5,724","$384,379.00","2,868"
Chic Feat. Nile Rodgers,"5,702","$332,967.00",0
Erykah Badu,"5,695","$461,330.00","8,076"
Comedy Get Down,"5,683","$307,183.00","497,354"
Mariah Carey,"5,676","$672,981.00","18,747"
A$AP Rocky,"5,650","$290,309.00",4
Nightwish,"5,632","$276,249.00","2,792"
American Young Voices,"5,610","$140,100.00","497,354"
Jeff Dunham,"5,584","$284,555.00",333
Migos,"5,583","$258,714.00","14,268"
Kraftwerk,"5,580","$382,984.00",846
Hilltop Hoods,"5,568","$264,790.00",192
Carl Cox,"5,555","$237,960.00","1,185"
Bauhaus,"5,554","$494,063.00","1,119"
Halsey,"5,520","$253,341.00","18,052"
Christina Aguilera,"5,517","$645,390.00","18,347"
The Stray Cats,"5,486","$394,052.00","497,354"
Café Tacvba,"5,459","$216,326.00","497,354"
Lady A,"5,371","$325,182.00","31,744"
Alanis Morissette,"5,335","$419,681.00","6,786"
Golden Features,"5,332","$279,750.00",59
TobyMac,"5,330","$179,080.00","14,487"
Los Tigres Del Norte,"5,327","$329,130.00",530
Snoop Dogg,"5,319","$328,208.00","22,090"
Dua Lipa,"5,303","$175,383.00","5,465"
Gareth Emery,"5,298","$247,404.00","1,829"
Tenacious D,"5,298","$286,285.00","6,558"
Ali Wong,"5,277","$324,612.00",18
311,"5,240","$190,888.00","13,684"
Dan + Shay,"5,238","$243,987.00","6,329"
Tyrese,"5,232","$370,141.00","1,629"
Mon Laferte,"5,223","$186,829.00",192
Billie Eilish,"5,178","$276,681.00","14,325"
Brantley Gilbert,"5,160","$233,187.00","16,885"
Bloc Party,"5,136","$242,335.00","3,140"
Keane,"5,131","$254,804.00","3,887"
Above & Beyond,"5,126","$321,977.00","4,324"
Hank Williams Jr.,"5,123","$302,312.00","9,291"
Rüfüs Du Sol,"5,106","$232,045.00","1,430"
Tiësto,"5,106","$242,534.00","12,703"
Alesso,"5,100","$270,219.00","4,854"
Jim Gaffigan,"5,094","$285,230.00","3,250"
Despacio,"5,062","$229,373.00",4
Neil Young,"5,055","$634,994.00","7,915"
Deep Purple,"5,053","$267,695.00","3,336"
Camila Cabello,"5,039","$266,393.00","6,946"
Barry Manilow,"5,035","$510,021.00","2,301"
Robyn,"5,024","$362,083.00","2,343"
Aziz Ansari,"5,004","$272,480.00","1,344"
Cristoph,"5,000","$276,450.00",54
Eric Prydz,"5,000","$276,450.00","1,957"
REO Speedwagon,"4,998","$236,062.00","6,815"
Luis Fonsi,"4,981","$248,474.00","3,970"
Liam Payne,"4,975","$187,930.00","5,254"
Soulwax,"4,958","$192,933.00",115
James Arthur,"4,956","$253,934.00","3,887"
Slaves,"4,945","$124,831.00","1,986"
Alexisonfire,"4,927","$239,064.00","2,197"
Illenium,"4,911","$220,359.00","2,983"
Underworld,"4,892","$183,633.00",527
Picture This,"4,889","$233,262.00",64
Rag N Bone Man,"4,885","$192,484.00","497,354"
Queens Of The Stone Age,"4,881","$272,814.00","497,354"
Tedeschi Trucks Band,"4,867","$303,790.00","4,150"
Sabaton,"4,860","$259,942.00","1,031"
Brandi Carlile,"4,855","$280,290.00","2,734"
Peter Frampton,"4,845","$314,544.00","3,933"
Galantis,"4,843","$234,920.00","4,048"
UB40 Feat. Ali Campbell & Astro,"4,832","$248,971.00","497,354"
Darius Rucker,"4,831","$246,055.00","12,156"
Dallas Smith,"4,828","$227,063.00",393
Christine And The Queens,"4,788","$225,025.00",311
Ghosts Of The Forest,"4,784","$271,638.00","497,354"
ZZ Top,"4,784","$291,385.00","9,602"
Anderson .Paak,"4,780","$242,730.00","3,325"
Yellow Claw,"4,779","$211,548.00","2,988"
Oliver Heldens,"4,774","$194,187.00","1,808"
The Lonely Island,"4,749","$288,397.00","4,797"
Russ,"4,727","$222,934.00","7,767"
Sara Bareilles,"4,719","$318,293.00","10,831"
Love Actually - Live Tour,"4,699","$410,314.00","497,354"
Alice In Chains,"4,680","$241,067.00","497,354"
Vance Joy,"4,678","$196,645.00","8,967"
YG,"4,676","$212,786.00","7,600"
Paul Weller,"4,651","$270,337.00",273
Jennifer Hudson,"4,650","$339,280.00","9,082"
Alt-J,"4,643","$223,480.00","8,421"
King Crimson,"4,635","$339,702.00",934
Pop 2000 Tour,"4,631","$53,688.00",34
America's Got Talent Live,"4,630","$579,240.00","497,354"
Lindsey Stirling,"4,623","$207,453.00","8,957"
Billy Idol,"4,607","$233,943.00","5,227"
Iggy Pop,"4,600","$450,287.00","2,492"
Hollywood Vampires,"4,594","$321,746.00","497,354"
Bob Dylan,"4,578","$465,506.00","11,629"
Wilco,"4,577","$260,088.00","3,880"
Status Quo,"4,565","$317,854.00",124
Haim,"4,548","$207,466.00","497,354"
Harry Potter In Concert,"4,539","$281,226.00","497,354"
